symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2019-12-20 08:00:00+00:00,210.8,211.26,210.8,211.12,58814.0,111.0,210.987038
QQQ,2019-12-20 12:00:00+00:00,211.13,212.24,210.85,211.6,11033565.0,36964.0,211.647079
QQQ,2019-12-20 16:00:00+00:00,211.59,212.05,211.585,212.0,9401491.0,31665.0,211.856191
QQQ,2019-12-20 20:00:00+00:00,212.0,212.02,211.49,211.9,7564016.0,24472.0,211.780095
QQQ,2019-12-23 08:00:00+00:00,211.63,211.95,211.6,211.91,30627.0,104.0,211.744981
QQQ,2019-12-23 12:00:00+00:00,211.93,212.28,211.6,212.02,4943827.0,26135.0,211.925659
QQQ,2019-12-23 16:00:00+00:00,212.02,212.15,211.885,211.95,12982174.0,29635.0,212.009371
QQQ,2019-12-23 20:00:00+00:00,211.95,211.99,211.63,211.94,6587400.0,16070.0,211.800336
QQQ,2019-12-24 00:00:00+00:00,211.9,211.91,211.78,211.81,20788.0,63.0,211.836902
QQQ,2019-12-24 08:00:00+00:00,211.92,212.07,211.92,212.07,14648.0,49.0,211.990577
QQQ,2019-12-24 12:00:00+00:00,212.05,212.12,211.44,211.76,4243776.0,16579.0,211.750752
QQQ,2019-12-24 16:00:00+00:00,211.77,212.01,211.75,211.92,2976985.0,14720.0,211.843687
QQQ,2019-12-24 20:00:00+00:00,211.8956,211.95,211.8956,211.95,1395.0,11.0,211.906441
QQQ,2019-12-26 08:00:00+00:00,212.1,212.33,212.1,212.25,15109.0,58.0,212.2568
QQQ,2019-12-26 12:00:00+00:00,212.25,212.97,212.2,212.94,3249574.0,18126.0,212.660914
QQQ,2019-12-26 16:00:00+00:00,212.94,213.53,212.91,213.41,5500299.0,26741.0,213.215958
QQQ,2019-12-26 20:00:00+00:00,213.41,213.97,213.22,213.94,7669417.0,18874.0,213.536416
QQQ,2019-12-27 00:00:00+00:00,213.93,214.25,213.91,214.22,68167.0,246.0,214.108913
QQQ,2019-12-27 08:00:00+00:00,214.42,214.76,214.34,214.67,69556.0,197.0,214.517986
QQQ,2019-12-27 12:00:00+00:00,214.67,214.79,213.2847,214.0,6291079.0,26181.0,214.051914
QQQ,2019-12-27 16:00:00+00:00,214.01,214.26,213.47,213.95,5526224.0,26709.0,213.84735
QQQ,2019-12-27 20:00:00+00:00,213.94,213.94,213.04,213.44,6668425.0,21390.0,213.489371
QQQ,2019-12-30 08:00:00+00:00,213.86,213.86,213.24,213.43,53290.0,175.0,213.531479
QQQ,2019-12-30 12:00:00+00:00,213.47,213.7,211.16,211.91,8568264.0,44689.0,212.080764
QQQ,2019-12-30 16:00:00+00:00,211.92,212.76,211.59,212.19,6360737.0,33882.0,212.337552
QQQ,2019-12-30 20:00:00+00:00,212.17,212.4155,211.52,212.25,7187014.0,16707.0,212.188912
QQQ,2019-12-31 00:00:00+00:00,212.25,212.33,212.25,212.31,8291.0,28.0,212.308559
QQQ,2019-12-31 08:00:00+00:00,212.39,212.45,212.15,212.19,13053.0,60.0,212.328569
QQQ,2019-12-31 12:00:00+00:00,212.22,212.6,211.2,211.668,6542356.0,33740.0,211.922424
QQQ,2019-12-31 16:00:00+00:00,211.66,212.24,211.51,212.17,6319579.0,28768.0,211.940949
QQQ,2019-12-31 20:00:00+00:00,212.17,213.25,212.14,213.08,5601629.0,20590.0,212.552903
QQQ,2020-01-01 00:00:00+00:00,213.1,213.18,213.03,213.09,25753.0,46.0,213.108313
QQQ,2020-01-02 08:00:00+00:00,213.98,214.37,213.95,214.15,91341.0,240.0,214.176419
QQQ,2020-01-02 12:00:00+00:00,214.08,215.16,213.5,214.62,10160632.0,44909.0,214.582006
QQQ,2020-01-02 16:00:00+00:00,214.63,215.5,214.08,215.465,13199980.0,46815.0,214.951504
QQQ,2020-01-02 20:00:00+00:00,215.46,216.55,215.45,216.35,8303221.0,28329.0,215.864526
QQQ,2020-01-03 00:00:00+00:00,216.34,216.48,216.33,216.45,22684.0,116.0,216.415556
QQQ,2020-01-03 08:00:00+00:00,213.87,213.88,212.44,212.97,307520.0,1010.0,213.184059
QQQ,2020-01-03 12:00:00+00:00,212.96,214.95,212.91,214.4265,10066960.0,52094.0,214.286896
QQQ,2020-01-03 16:00:00+00:00,214.44,215.47,214.1154,214.95,10458436.0,48322.0,214.875485
QQQ,2020-01-03 20:00:00+00:00,214.95,215.16,214.09,214.28,7011167.0,27804.0,214.503495
QQQ,2020-01-06 08:00:00+00:00,212.26,212.78,212.12,212.72,95052.0,375.0,212.550964
QQQ,2020-01-06 12:00:00+00:00,212.72,214.7,212.24,214.54,7380631.0,36494.0,213.634952
QQQ,2020-01-06 16:00:00+00:00,214.545,215.11,214.26,214.94,8642624.0,36235.0,214.678857
QQQ,2020-01-06 20:00:00+00:00,214.95,215.74,214.85,215.11,5960543.0,22853.0,215.343664
QQQ,2020-01-07 00:00:00+00:00,215.17,215.66,215.17,215.55,57362.0,254.0,215.487611
QQQ,2020-01-07 08:00:00+00:00,215.9,216.04,215.55,215.63,79178.0,309.0,215.81658
QQQ,2020-01-07 12:00:00+00:00,215.61,216.25,214.85,215.84,9076502.0,34474.0,215.464899
QQQ,2020-01-07 16:00:00+00:00,215.84,216.14,215.48,215.71,8449990.0,35150.0,215.831436
QQQ,2020-01-07 20:00:00+00:00,215.72,215.95,212.27,212.88,5500418.0,19878.0,215.276312
QQQ,2020-01-08 00:00:00+00:00,212.9,212.92,211.09,211.86,387953.0,1840.0,211.914439
QQQ,2020-01-08 08:00:00+00:00,214.78,215.98,214.72,215.63,245446.0,741.0,215.290953
QQQ,2020-01-08 12:00:00+00:00,215.64,216.36,214.06,215.7307,6411423.0,31220.0,215.875823
QQQ,2020-01-08 16:00:00+00:00,215.74,217.6087,215.51,217.6,10282244.0,53981.0,216.913784
QQQ,2020-01-08 20:00:00+00:00,217.6,218.14,216.97,217.66,9887452.0,37803.0,217.498724
QQQ,2020-01-09 00:00:00+00:00,217.64,217.94,217.56,217.75,41560.0,302.0,217.793062
QQQ,2020-01-09 08:00:00+00:00,218.42,218.61,218.36,218.49,94961.0,419.0,218.479405
QQQ,2020-01-09 12:00:00+00:00,218.49,219.41,217.72,219.1519,8123148.0,36754.0,218.988795
QQQ,2020-01-09 16:00:00+00:00,219.16,219.1979,217.7125,218.83,10094812.0,52178.0,218.587803
QQQ,2020-01-09 20:00:00+00:00,218.825,219.29,218.48,219.26,5622900.0,20914.0,218.861729
QQQ,2020-01-10 00:00:00+00:00,219.24,219.62,219.24,219.5601,66758.0,228.0,219.500049
QQQ,2020-01-10 08:00:00+00:00,219.56,220.21,219.56,220.05,67169.0,264.0,220.007947
QQQ,2020-01-10 12:00:00+00:00,220.03,220.16,218.99,219.7334,6976030.0,33885.0,219.595035
QQQ,2020-01-10 16:00:00+00:00,219.73,219.87,218.58,218.89,8560256.0,42136.0,219.109251
QQQ,2020-01-10 20:00:00+00:00,218.89,218.92,218.04,218.31,6599511.0,22846.0,218.433487
QQQ,2020-01-13 08:00:00+00:00,219.27,219.53,219.08,219.1,87813.0,298.0,219.352204
QQQ,2020-01-13 12:00:00+00:00,219.06,219.805,218.98,219.735,5851603.0,28324.0,219.458787
QQQ,2020-01-13 16:00:00+00:00,219.74,220.75,219.64,220.62,7989316.0,44017.0,220.2743
QQQ,2020-01-13 20:00:00+00:00,220.625,221.48,220.46,221.44,10139587.0,19371.0,220.872908
