symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2022-01-18 05:00:00+00:00,374.04,376.22,369.7704,370.55,76986297.0,750197.0,372.640358
QQQ,2022-01-19 05:00:00+00:00,372.15,374.69,366.21,366.48,83770497.0,755437.0,370.667098
QQQ,2022-01-20 05:00:00+00:00,369.79,373.87,361.17,361.72,89071525.0,783124.0,368.631078
QQQ,2022-01-21 05:00:00+00:00,359.47,362.18,351.4,351.69,144404814.0,1408977.0,356.769721
QQQ,2022-01-24 05:00:00+00:00,345.905,353.98,334.15,353.3,200567588.0,2233536.0,343.282453
QQQ,2022-01-25 05:00:00+00:00,346.67,351.0295,341.68,345.11,125275247.0,1270382.0,345.390755
QQQ,2022-01-26 05:00:00+00:00,352.91,356.88,340.78,344.57,147398827.0,1506677.0,349.259793
QQQ,2022-01-27 05:00:00+00:00,349.4,351.27,340.05,341.1,96216780.0,973771.0,345.311949
QQQ,2022-01-28 05:00:00+00:00,343.03,352.02,337.95,351.8,108566652.0,905855.0,345.369797
QQQ,2022-01-31 05:00:00+00:00,353.2,363.65,351.52,363.05,95306289.0,784203.0,359.171958
QQQ,2022-02-01 05:00:00+00:00,364.43,366.19,359.14,365.52,75382875.0,664040.0,362.728361
QQQ,2022-02-02 05:00:00+00:00,369.76,370.1,364.285,368.49,79855982.0,766160.0,367.521045
QQQ,2022-02-03 05:00:00+00:00,358.53,361.93,352.46,353.55,96875534.0,939511.0,357.513646
QQQ,2022-02-04 05:00:00+00:00,354.08,361.4,351.97,358.01,86997403.0,841435.0,356.698889
QQQ,2022-02-07 05:00:00+00:00,358.62,361.05,353.84,355.13,58617855.0,605732.0,357.491558
QQQ,2022-02-08 05:00:00+00:00,353.96,360.24,352.8,359.12,65239934.0,573047.0,356.918674
QQQ,2022-02-09 05:00:00+00:00,363.76,366.81,362.12,366.73,56743509.0,453986.0,364.713219
QQQ,2022-02-10 05:00:00+00:00,359.52,366.4885,356.54,358.43,113563801.0,972702.0,361.734071
QQQ,2022-02-11 05:00:00+00:00,358.43,360.07,345.8,347.06,103074823.0,917151.0,352.412546
QQQ,2022-02-14 05:00:00+00:00,346.49,350.98,343.89,347.49,81049118.0,722562.0,347.655725
QQQ,2022-02-15 05:00:00+00:00,352.91,356.37,351.82,356.13,56148021.0,491850.0,354.202712
QQQ,2022-02-16 05:00:00+00:00,353.82,357.0896,350.71,356.04,59776534.0,511042.0,353.376929
QQQ,2022-02-17 05:00:00+00:00,352.74,353.46,345.02,345.45,62703849.0,516041.0,348.878994
QQQ,2022-02-18 05:00:00+00:00,346.41,346.81,339.14,341.51,80665780.0,694039.0,342.514762
QQQ,2022-02-22 05:00:00+00:00,338.49,344.04,334.35,338.08,86714434.0,689178.0,339.007029
QQQ,2022-02-23 05:00:00+00:00,341.32,342.183,329.1,329.42,87685569.0,706891.0,334.326651
QQQ,2022-02-24 05:00:00+00:00,318.84,341.04,318.26,340.49,132004638.0,1225832.0,330.161022
QQQ,2022-02-25 05:00:00+00:00,341.31,345.98,337.39,345.77,79438449.0,691383.0,342.910098
QQQ,2022-02-28 05:00:00+00:00,342.51,348.54,341.32,346.8,78523644.0,856607.0,344.58449
QQQ,2022-03-01 05:00:00+00:00,345.75,348.078,338.9,341.49,67932627.0,763563.0,343.689996
QQQ,2022-03-02 05:00:00+00:00,343.08,348.59,340.24,347.22,71504241.0,750674.0,345.078589
QQQ,2022-03-03 05:00:00+00:00,349.93,350.04,340.35,342.26,71759997.0,691273.0,344.353936
QQQ,2022-03-04 05:00:00+00:00,339.84,341.31,334.92,337.3,78396304.0,759084.0,337.312744
QQQ,2022-03-07 05:00:00+00:00,337.29,338.48,324.65,324.86,90771780.0,921615.0,330.192533
QQQ,2022-03-08 05:00:00+00:00,324.05,333.21,319.94,323.35,116915533.0,1289433.0,325.549359
QQQ,2022-03-09 05:00:00+00:00,331.75,336.38,329.09,334.99,65685379.0,647284.0,333.192046
QQQ,2022-03-10 05:00:00+00:00,330.82,332.51,326.71,331.27,69982940.0,711872.0,329.707887
QQQ,2022-03-11 05:00:00+00:00,334.32,334.64,323.9,324.4,66662338.0,671685.0,328.625324
QQQ,2022-03-14 04:00:00+00:00,323.13,326.59,317.45,318.17,80580807.0,854110.0,321.089445
QQQ,2022-03-15 04:00:00+00:00,320.88,328.95,319.23,328.15,77280679.0,723797.0,324.697377
QQQ,2022-03-16 04:00:00+00:00,332.17,340.44,328.401,340.32,107109357.0,992124.0,335.161942
QQQ,2022-03-17 04:00:00+00:00,338.37,344.5,337.0406,344.44,68958852.0,616755.0,340.860846
QQQ,2022-03-18 04:00:00+00:00,342.74,351.79,341.55,351.49,86724582.0,632949.0,348.158781
QQQ,2022-03-21 04:00:00+00:00,350.2,352.48,345.575,350.08,74264816.0,682345.0,348.887524
QQQ,2022-03-22 04:00:00+00:00,350.59,357.85,350.2,356.96,64582669.0,537085.0,355.516035
QQQ,2022-03-23 04:00:00+00:00,354.01,357.66,351.77,351.83,71126411.0,556394.0,354.114134
QQQ,2022-03-24 04:00:00+00:00,353.8,359.7,351.5939,359.65,54106778.0,508267.0,355.730116
QQQ,2022-03-25 04:00:00+00:00,359.59,360.67,354.9438,359.35,57836281.0,508702.0,357.904862
QQQ,2022-03-28 04:00:00+00:00,359.34,365.01,358.07,364.91,57994002.0,549459.0,361.749235
QQQ,2022-03-29 04:00:00+00:00,368.9,371.83,366.06,371.19,69176176.0,654555.0,369.228387
QQQ,2022-03-30 04:00:00+00:00,369.275,370.98,365.57,367.09,69393746.0,585530.0,368.432317
QQQ,2022-03-31 04:00:00+00:00,367.24,367.6,361.68,362.54,67472737.0,546260.0,364.960223
QQQ,2022-04-01 04:00:00+00:00,362.81,363.61,358.59,361.85,55005279.0,530634.0,360.830647
QQQ,2022-04-04 04:00:00+00:00,362.71,369.31,362.44,369.3,46596997.0,400281.0,367.284534
